Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2028,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Years with targets,Previous Carbon Performance Alignment 2025,Previous Carbon Performance Alignment 2027,Previous Carbon Performance Alignment 2028,Previous Carbon Performance Alignment 2035,Previous Carbon Performance Alignment 2050,Previous Years with targets,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
New Oriental Education & Technology Group,China,CHN,Consumer Services,No,large,US6475812060,#N/A,01/12/2024,30/04/2024,0,new,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewMarket,United States of America,USA,Chemicals,No,small,US6515871076,B01CGF1,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newmont Corporation,United States of America,USA,Diversified Mining,No,large,US6516391066,2636607,01/12/2024,18/04/2024,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/05/2024,23/05/2024,Diversified Mining_01/06/2022,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2030;2050,1.5 Degrees,,,1.5 Degrees,1.5 Degrees,2030;2050,2022,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,8.081492509,6.546730591,6.505192701,8.830850212,11.22648896,11.76324026,11.32345501,10.67222182,10.02098862,9.369755426,8.718522231,8.067289036,7.416055841,6.764822646,6.113589451,5.807909979,5.502230506,5.196551034,4.890871561,4.585192089,4.279512616,3.973833143,3.668153671,3.362474198,3.056794726,2.751115253,2.445435781,2.139756308,1.834076835,1.528397363,1.22271789,0.917038418,0.611358945,0.305679473,0.0,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate the company's targeted emissions intensity, TPI has assumed that its externally sold products grow in line with the growth of the copper equivalent denominator in the National Pledges benchmark. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
News Corporation Cl A,United States of America,USA,Consumer Services,No,medium,US65249B1098,BBGVT40,01/12/2024,05/01/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextEra Energy,United States of America,USA,Electricity Utilities,Yes,large,US65339F1012,2328915,01/12/2024,05/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/10/2024,09/06/2024,Electricity Utilities_01/10/2024,,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,2025;2030;2035;2040;2045,1.5 Degrees,,,1.5 Degrees,Below 2 Degrees,2025;2030;2035;2040;2045,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.254558912,0.241765021,0.248568914,0.216363818,0.206384774,0.197766509,0.218631782,0.198673694,0.191416208,0.176901235,0.163734156,0.150567078,0.1374,0.126408,0.115416,0.104424,0.093432,0.08244,0.07786,0.07328,0.0687,0.06412,0.05954,0.053128,0.046716,0.040304,0.033892,0.02748,0.021984,0.016488,0.010992,0.005496,0.0,,,,,,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
NiSource,United States of America,USA,Electricity Utilities,No,medium,US65473P1057,2645409,01/12/2024,05/02/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,Yes,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,National Pledges,,Below 2 Degrees,1.5 Degrees,2030;2040,Not Aligned,,,Below 2 Degrees,1.5 Degrees,2025;2030;2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,,0.8,0.74,0.76,0.6,0.55,0.49,0.43,0.37,0.31,0.26,0.2,0.14,0.13,0.11,0.1,0.08,0.07,0.06,0.04,0.03,0.01,0.0,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Nickel Industries,Australia,AUS,Diversified Mining,No,small,AU0000018236,BZ7NDP2,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Applicable,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidec,Japan,JPN,Industrials,No,large,JP3734800000,6640682,01/12/2024,19/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nike,United States of America,USA,Consumer Goods,No,large,US6541061031,2640147,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Dragons Paper Industries,China,CHN,Paper,No,large,BMG653181005,B0WC2B8,01/12/2024,04/05/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,Yes,No,No,No,No,01/08/2024,03/06/2024,Paper_01/02/2021,,Not Aligned,,Not Aligned,Not Aligned,2030;2050,Not Aligned,,,Not Aligned,Not Aligned,,2022,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,0.9722,0.9339,0.933,0.9305,0.915,0.9061,0.89805,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Ningbo Port,China,CHN,Industrials,No,large,CNE100000V12,B3QMQ68,01/12/2024,11/01/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia Baofeng Energy Group,China,CHN,Basic Materials,No,large,CNE100003LF5,BJHDDF0,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nintendo,Japan,JPN,Consumer Goods,No,large,JP3756600007,6639550,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Not Applicable,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Coke & Engineering,Japan,JPN,Coal Mining,No,small,JP3889610006,6740344,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Express Holdings,Japan,JPN,Industrials,No,medium,JP3688370000,BKSHP63,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Light Metal,Japan,JPN,Aluminium,No,small,JP3700200003,B51WP26,01/12/2024,05/01/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Nippon Paint,Japan,JPN,Chemicals,No,large,JP3749400002,6640507,01/12/2024,22/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Paper Industries,Japan,JPN,Paper,No,medium,JP3721600009,B8B8PJ2,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,Yes,01/08/2024,03/06/2024,Paper_01/02/2021,,Not Aligned,,Paris Pledges,Below 2 Degrees,2024,Not Aligned,,,Paris Pledges,Below 2 Degrees,2030;2050,2022,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,1.191135734,1.110721179,1.18,1.16,1.24,1.15,1.07,1.032410198,0.994820395,0.957230593,0.91964079,0.882050988,0.844461185,0.806871383,0.76928158,0.730817501,0.692353422,0.653889343,0.615425264,0.576961185,0.538497106,0.500033027,0.461568948,0.423104869,0.38464079,0.346176711,0.307712632,0.269248553,0.230784474,0.192320395,0.153856316,0.115392237,0.076928158,0.038464079,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’ s pulp, paper and paperboard production grows according to the global growth rate projected in the IEA’ s Energy Technology Perspectives model ‘Reference Technology’ scenario. TPI also assumes that the emissions intensity of the pulp and paper business in Japan is representative of the company’s carbon performance, since Japanese production accounts for over 82% of the company’s global paper production. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Nippon Sanso,Japan,JPN,Chemicals,No,large,JP3711600001,6640541,01/12/2024,24/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Steel,Japan,JPN,Steel,Yes,large,JP3381000003,6642569,01/12/2024,05/01/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,01/10/2024,09/06/2024,Steel_01/10/2024,,Not Aligned,,Not Aligned,1.5 Degrees,2030;2050,Not Aligned,,,Below 2 Degrees,1.5 Degrees,2030;2050,2022,Carbon intensity (tonnes of CO2 per tonne of steel),1.89,1.98,2.0,1.98,1.89,1.89,1.93,1.97,1.88,1.92,1.892201939,1.864403879,1.836605818,1.808807757,1.781009696,1.753211636,1.725413575,1.697615514,1.612734738,1.527853963,1.442973187,1.358092411,1.273211636,1.18833086,1.103450084,1.018569308,0.933688533,0.848807757,0.763926981,0.679046206,0.59416543,0.509284654,0.424403879,0.339523103,0.254642327,0.169761551,0.084880776,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s steel production grows according to the global growth rate projected in the Mission Possible Project’s (MPP) Steel Sector Transition Strategy Model (ST-STSM). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Nippon Telegraph and Telephone,Japan,JPN,Telecommunications,No,large,JP3735400008,6641373,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Japan,JPN,Autos,Yes,large,JP3672400003,6642860,01/12/2024,29/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,01/10/2024,09/06/2024,Autos_01/11/2023,,National Pledges,,National Pledges,1.5 Degrees,2030;2050,Not Aligned,,,National Pledges,1.5 Degrees,2030;2050,2022,Average new vehicle emissions (grams of CO2 per kilometre [WLTP]),162.4973047,158.7864317,157.7725422,158.413712,159.0336158,156.5212434,150.0731341,145.6283385,140.3988874,134.9698769,131.3051222,127.6403675,123.9756128,120.3108581,116.6461034,112.9813487,109.316594,105.6518393,100.3692473,95.08665536,89.80406339,84.52147143,79.23887946,73.9562875,68.67369553,63.39110357,58.10851161,52.82591964,47.54332768,42.26073571,36.97814375,31.69555179,26.41295982,21.13036786,15.84777589,10.56518393,5.282591964,0.0,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. TPI’s benchmarks harmonise emissions under the EU’s Worldwide Harmonized Light Vehicles Test Procedure (WLTP). While formally adopted in September 2017, manufacturers systematically began reporting emission performance in WLTP in the reporting year 2020. We rely on conversion factors published by the ICCT to translate companies’ historical intensities from NEDC to WLTP, but previous assessments using NEDC are still accessible on our tool. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Nissan Chemical,Japan,JPN,Chemicals,No,large,JP3670800006,6641588,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nisshin Seifun Group,Japan,JPN,Food Producers,No,medium,JP3676800000,6640961,01/12/2024,26/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,Yes,01/11/2024,02/10/2024,Food Producers_01/01/2024,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2030;2050,,,,,,,2022,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,0.841979835,0.808090137,0.800618519,0.797251436,0.793884352,0.790517269,0.787150185,0.783783102,0.780416018,0.777048935,0.773681851,0.734997759,0.696313666,0.657629573,0.618945481,0.580261388,0.541577296,0.502893203,0.464209111,0.425525018,0.386840926,0.348156833,0.30947274,0.270788648,0.232104555,0.193420463,0.15473637,0.116052278,0.077368185,0.038684093,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the sourced agricultural inputs used by the company grow according to the global agricultural input production forecasts from several Integrated Assessment Models under a Business-as-Usual scenario. Based on the company's methodology and emissions factors database used, TPI understands that agricultural and Land Use, Land Use Change, and Forestry (LULUCF) GHG emissions are included in the reported Scope 3 Category 1 emissions and therefore, also included in the company's Scope 3 emissions reduction targets."
Nisshin Steel,Japan,JPN,Steel,No,medium,JP3676200003,B89C2N9,,,,,,,,,,,,,,,,,,,,,,,,01/02/2020,20/12/2019,Steel_01/02/2020,,,,,Not Aligned,,,,,,Not Aligned,,2018,Carbon intensity (tonnes of CO2 per tonne of steel),2.4,2.37,2.36,2.35,2.43,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this companyís Carbon Performance.
Nissin Foods,Japan,JPN,Food Producers,No,large,JP3675600005,6641760,01/12/2024,10/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on Scope 3 emissions and used agricultural inputs which TPI can use to estimate historical or future Carbon Performance. The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment."
Niterra,Japan,JPN,Consumer Goods,No,medium,JP3738600000,6619604,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitori Holdings,Japan,JPN,Consumer Services,No,large,JP3756100008,6644800,01/12/2024,28/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitto Denko,Japan,JPN,Chemicals,No,large,JP3684000007,6641801,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noble Energy,United States of America,USA,Oil & Gas,No,medium,US6550441058,2640761,,,,,,,,,,,,,,,,,,,,,,,,01/10/2020,12/08/2020,Oil & Gas_01/10/2020,,,,,Not Aligned,,,,,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,66.04,65.01,64.72,65.9,66.72,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance."
Nokia,Finland,FIN,Technology,No,large,FI0009000681,5902941,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomad Foods,United States of America,USA,Food Producers,No,small,VGG6564A1057,BQFJGK5,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,No,No,No,No,No,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on Scope 3 emissions which TPI can use to estimate historical or future Carbon Performance. The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment."
Nongfu Spring (H),China,CHN,Consumer Goods,No,large,CNE100004272,BMGWW30,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Southern,United States of America,USA,Industrials,No,large,US6558441084,2641894,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nornickel,Russia,RUS,Diversified Mining,No,large,RU0007288411;US55315J1025;US46626D1081,B5B1TX2;BYSW6D0;2768243,01/09/2022,15/04/2022,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,Yes,No,No,No,01/02/2021,23/12/2020,Diversified Mining_01/02/2021,Below 2 Degrees,,,Below 2 Degrees,Below 2 Degrees,,,,,,Below 2 Degrees,,2019,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,7.955,8.144,7.834,7.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.
Norsk Hydro,Norway,NOR,Aluminium,No,medium,NO0005052605,B11HK39,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2025;2030;2050,1.5 Degrees,,,1.5 Degrees,1.5 Degrees,2025;2030;2050,2022,Carbon intensity (tCO2e / t aluminium),4.438994165,4.685963822,4.530652446,4.373292585,3.337596446,3.469320119,3.396070977,3.20269433,3.14544079,3.143595845,2.89161213,2.639628416,2.387644702,2.233624618,2.079604534,1.92558445,1.771564367,1.617544283,1.536667069,1.455789855,1.374912641,1.294035426,1.213158212,1.132280998,1.051403784,0.97052657,0.889649356,0.808772142,0.727894927,0.647017713,0.566140499,0.485263285,0.404386071,0.323508857,0.242631642,0.161754428,0.080877214,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s aluminium production grows according to the global growth rate projected in the IEA’s Energy Technology Perspectives model Reference Technology scenario. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Northam Platinum Holdings,South Africa,ZAF,Basic Materials,No,medium,ZAE000298253,BMZ1NS0,01/12/2024,28/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Oil And Gas,United States of America,USA,Oil & Gas,No,small,US6655313079,BN6RJM0,01/12/2024,05/04/2024,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Star Resources,Australia,AUS,Basic Materials,No,large,AU000000NST8,6717456,01/12/2024,23/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northrop Grumman,United States of America,USA,Industrials,No,large,US6668071029,2648806,01/12/2024,25/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,United States of America,USA,Electricity Utilities,No,small,US6680743050,B03PGL4,01/12/2024,16/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,Not Aligned,,National Pledges,Below 2 Degrees,2050,,,,,,,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,0.47,0.46,0.44,0.5,0.5,0.48,0.46,0.44,0.42,0.41,0.39,0.37,0.35,0.34,0.32,0.3,0.28,0.27,0.25,0.23,0.21,0.19,0.18,0.16,0.14,0.12,0.11,0.09,0.07,0.05,0.04,0.02,0.0,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Norwegian Cruise Line,United States of America,USA,Consumer Services,No,small,BMG667211046,B9CGTC3,01/12/2024,19/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
